ID,FoodGroup,Descrip,CommonName,MfgName,ScientificName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
11634,Vegetables and Vegetable Products,"Peppers, sweet, green, freeze-dried",No name,No name,No name,314.0,17.9,3.0,68.7,38.48,21.3,282.0,2.2230000000000003,0.0,1900.0,4.0,229.0,7.4,1.2,1.2,134.0,1.389,10.4,188.0,1.897,327.0,3.7,2.41
15218,Finfish and Shellfish Products,"Fish, sunfish, pumpkin seed, cooked, dry heat",No name,No name,No name,114.0,24.87,0.9,0.0,0.0,0.0,17.0,0.138,2.31,1.0,0.0,17.0,1.462,0.085,0.092,103.0,0.385,1.54,38.0,0.897,231.0,16.2,1.99
1266,Dairy and Egg Products,"Cheese, Swiss, nonfat or fat free",No name,No name,No name,127.0,28.4,0.0,3.4,1.33,0.0,40.0,0.08,1.68,0.0,0.07,6.0,0.09,0.36,0.02,961.0,0.027000000000000003,0.17,36.0,0.0,605.0,12.7,3.9
13399,Beef Products,"Beef, round, bottom round, roast, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted",Cube Steak,No name,No name,187.0,27.42,7.72,0.0,0.0,0.0,0.0,0.36,1.53,0.0,0.38,9.0,4.793,0.146,0.063,7.0,0.065,2.24,18.0,0.01,171.0,28.1,4.61
23477,Beef Products,"Beef, ground, 97% lean meat / 3% fat, raw",hamburger,No name,No name,115.0,21.98,3.0,0.0,0.0,0.0,4.0,0.401,2.26,0.0,0.17,4.0,5.6629999999999985,0.151,0.041,8.0,0.08,2.44,22.0,0.01,203.0,17.7,5.21
8654,Breakfast Cereals,"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, Just Bunches, honey roasted",No name,"Post Foods, LLC",No name,433.0,7.9,11.4,75.9,23.3,6.2,395.0,0.9,2.6,0.0,1.83,583.0,8.8,0.7,0.7,42.0,0.3,14.2,76.0,0.0,234.0,25.7,2.6
8698,Breakfast Cereals,"Cereals ready-to-eat, KELLOGG, KELLOGG'S FROOT LOOPS TREASURES, Strawberry",No name,"Kellogg, Co.",No name,380.0,5.3,3.9,87.3,40.29,8.6,0.0,1.66,5.0,50.0,0.0,0.0,16.7,1.41,1.25,13.0,0.0,15.0,27.0,0.0,58.0,0.0,5.0
16579,Legumes and Legume Products,"GARDENBURGER Original, frozen, unprepared",No name,"Kellogg, Co.",No name,159.0,7.2,4.6,22.1,0.6,5.0,0.0,0.1,0.0,0.0,0.0,12.0,1.2,0.1,0.1,65.0,0.0,1.4,18.0,0.0,118.0,0.0,0.3
13862,Beef Products,"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",URMIS #1144,No name,No name,194.0,27.7,9.29,0.0,0.0,0.0,7.0,0.395,5.28,0.0,0.12,7.0,4.471,0.306,0.099,14.0,0.111,3.02,24.0,0.015,224.0,31.9,9.71
18259,Baked Products,"English muffins, plain, toasted, enriched, with calcium propionate (includes sourdough)",No name,No name,No name,270.0,10.32,2.02,52.65,3.47,2.8,0.0,0.067,0.05,1.7,0.36,180.0,4.99,0.28,0.541,197.0,0.16,4.65,28.0,0.63,107.0,26.3,1.4
